,osing,indonesia
4022,isun nyapu lading nong pasar,saya menyapu pisau di pasar
4023,isun njuwut lading nong pawon,saya mengambil pisau di dapur
4024,bapak nggowo lading teko pawon,bapak membawa pisau dari dapur
4025,bapak nyapu gedhang nong pasar,bapak menyapu pisang di pasar
4026,embyah ngambung sego nyang puthuk,nenek mencium nasi ke bukit
4027,yane nyampat jangan teko kali,dia memukul sayur dari sungai
4028,mak nyampat sego nyang kali,ibu memukul nasi ke sungai
4029,wong-wong nyimpen lading nong pawon,mereka menyimpan pisau di dapur
4030,yane ngolah lading teko pawon,dia memasak pisau dari dapur
4031,isun nyimpen sego nong umah,aku menyimpan nasi di rumah
4032,lare njuwut lading teko pasar,anak mengambil pisau dari pasar
4033,lare nyampat sego teko kali,anak memukul nasi dari sungai
4034,lare ngolah gedhang nong pawon,anak memasak pisang di dapur
4035,isun ngolah lading nong pasar,aku memasak pisau di pasar
4036,bapak njuwut buku teko pasar,bapak mengambil buku dari pasar
4037,riko ngolah gedhang nong puthuk,kamu memasak pisang di bukit
4038,embyah nggowo sego nong pasar,nenek membawa nasi di pasar
4039,yane ndeleng lare,dia melihat anak
4040,isun nyampat byanyu nong umah,saya memukul air di rumah
4041,mak ngolah kunci nong umah,ibu memasak kunci di rumah
4042,isun ngambung sego nyang umah,saya mencium nasi ke rumah
4043,embyah nyimpen gedhang nong pawon,nenek menyimpan pisang di dapur
4044,isun njuwut jangan nong kali,saya mengambil sayur di sungai
4045,bapak nyimpen lare nyang umah,bapak menyimpan anak ke rumah
4046,lare nyapu kunci nyang puthuk,anak menyapu kunci ke bukit
4047,bapak ndeleng buku teko puthuk,bapak melihat buku dari bukit
4048,riko nggowo lare nong umah,kamu membawa anak di rumah
4049,isun nggowo lare nong pasar,aku membawa anak di pasar
4050,riko ndeleng kembang nyang puthuk,kamu melihat bunga ke bukit
4051,isun ngambung sego nong pasar,aku mencium nasi di pasar
4052,embyah nyampat lare nyang pasar,nenek memukul anak ke pasar
4053,lare njuwut lading nong puthuk,anak mengambil pisau di bukit
4054,mak ndeleng byanyu,ibu melihat air
4055,isun nyimpen lare nyang puthuk,aku menyimpan anak ke bukit
4056,isun njuwut byanyu nong pawon,aku mengambil air di dapur
4057,riko nyampat byanyu nyang puthuk,kamu memukul air ke bukit
4058,isun ngambung sego,aku mencium nasi
4059,riko ngambung jangan,kamu mencium sayur
4060,lare nggowo kunci nong kali,anak membawa kunci di sungai
4061,riko ngundang lading,kamu memanggil pisau
4062,isun ngundang kunci teko pasar,aku memanggil kunci dari pasar
4063,embyah ngambung gedhang teko pawon,nenek mencium pisang dari dapur
4064,wong-wong nyapu byanyu teko kali,mereka menyapu air dari sungai
4065,embyah ndeleng jangan nyang pawon,nenek melihat sayur ke dapur
4066,riko ndeleng kunci nong umah,kamu melihat kunci di rumah
4067,bapak njuwut jangan teko umah,bapak mengambil sayur dari rumah
4068,isun nggowo lading,saya membawa pisau
4069,lare ngundang kembang teko puthuk,anak memanggil bunga dari bukit
4070,lare nyapu kunci nyang umah,anak menyapu kunci ke rumah
4071,embyah ngundang byanyu nyang pasar,nenek memanggil air ke pasar
4072,mak nyampat buku nyang pasar,ibu memukul buku ke pasar
4073,embyah nggowo buku,nenek membawa buku
4074,isun nggowo buku nong puthuk,aku membawa buku di bukit
4075,mak ndeleng jangan nong kali,ibu melihat sayur di sungai
4076,lare ngambung lare nong umah,anak mencium anak di rumah
4077,isun njuwut lading,aku mengambil pisau
4078,yane ndeleng sego nyang puthuk,dia melihat nasi ke bukit
4079,mak ndeleng kunci,ibu melihat kunci
4080,yane ngambung kunci,dia mencium kunci
4081,riko nyapu lare,kamu menyapu anak
4082,mak nyampat lare teko pawon,ibu memukul anak dari dapur
4083,wong-wong ngundang byanyu nyang pasar,mereka memanggil air ke pasar
4084,lare ngundang kembang nyang pasar,anak memanggil bunga ke pasar
4085,isun ngundang jangan nyang puthuk,aku memanggil sayur ke bukit
4086,wong-wong nyapu kembang teko puthuk,mereka menyapu bunga dari bukit
4087,isun ngundang lading nyang umah,aku memanggil pisau ke rumah
4088,isun nyimpen buku,aku menyimpan buku
4089,isun njuwut jangan,aku mengambil sayur
4090,mak ngundang jangan,ibu memanggil sayur
4091,bapak nyampat jangan nyang pawon,bapak memukul sayur ke dapur
4092,lare ngundang jangan nong pawon,anak memanggil sayur di dapur
4093,wong-wong nyampat lare nong umah,mereka memukul anak di rumah
4094,isun njuwut lare teko puthuk,saya mengambil anak dari bukit
4095,lare ngolah byanyu nyang kali,anak memasak air ke sungai
4096,isun ngambung kunci nyang puthuk,saya mencium kunci ke bukit
4097,wong-wong nyimpen gedhang nong pasar,mereka menyimpan pisang di pasar
4098,embyah ngundang kunci teko puthuk,nenek memanggil kunci dari bukit
4099,lare ngambung jangan nong pawon,anak mencium sayur di dapur
4100,riko nggowo gedhang,kamu membawa pisang
4101,embyah ngundang gedhang nyang kali,nenek memanggil pisang ke sungai
4102,isun ndeleng lare nong puthuk,aku melihat anak di bukit
4103,isun ngambung lare nyang puthuk,aku mencium anak ke bukit
4104,isun nyapu jangan nong pawon,aku menyapu sayur di dapur
4105,bapak ngundang lading nyang pasar,bapak memanggil pisau ke pasar
4106,isun njuwut jangan nyang kali,aku mengambil sayur ke sungai
4107,wong-wong ngundang buku nyang puthuk,mereka memanggil buku ke bukit
4108,embyah ngambung byanyu nong puthuk,nenek mencium air di bukit
4109,bapak ngambung lading nong pasar,bapak mencium pisau di pasar
4110,isun nyapu buku teko pawon,saya menyapu buku dari dapur
4111,bapak nggowo byanyu,bapak membawa air
4112,embyah nyapu sego nong puthuk,nenek menyapu nasi di bukit
4113,isun ngambung jangan nyang kali,aku mencium sayur ke sungai
4114,wong-wong ngambung lading nyang pawon,mereka mencium pisau ke dapur
4115,wong-wong ngundang byanyu nong umah,mereka memanggil air di rumah
4116,mak ngundang gedhang nyang umah,ibu memanggil pisang ke rumah
4117,riko nyampat lading nong pasar,kamu memukul pisau di pasar
4118,isun ndeleng byanyu nong puthuk,aku melihat air di bukit
4119,embyah nyimpen lare nong pasar,nenek menyimpan anak di pasar
4120,isun nyampat sego nong puthuk,saya memukul nasi di bukit
4121,yane ngolah lading,dia memasak pisau
4122,riko njuwut kunci teko pasar,kamu mengambil kunci dari pasar
4123,embyah njuwut lare,nenek mengambil anak
4124,bapak nyampat byanyu nyang pasar,bapak memukul air ke pasar
4125,riko ngambung kunci nong puthuk,kamu mencium kunci di bukit
4126,bapak nyampat sego teko umah,bapak memukul nasi dari rumah
4127,isun ndeleng jangan nong pawon,aku melihat sayur di dapur
4128,isun ngolah buku teko kali,saya memasak buku dari sungai
4129,bapak nyampat jangan nong puthuk,bapak memukul sayur di bukit
4130,wong-wong ngundang lading,mereka memanggil pisau
4131,isun nyapu lare nyang pasar,aku menyapu anak ke pasar
4132,isun ngambung buku nong kali,aku mencium buku di sungai
4133,isun nyimpen lading nyang kali,saya menyimpan pisau ke sungai
4134,isun ndeleng gedhang,saya melihat pisang
4135,bapak njuwut jangan,bapak mengambil sayur
4136,yane ngundang kunci teko pawon,dia memanggil kunci dari dapur
4137,embyah ndeleng kembang teko umah,nenek melihat bunga dari rumah
4138,embyah nggowo sego nyang puthuk,nenek membawa nasi ke bukit
4139,riko nyimpen lading,kamu menyimpan pisau
4140,bapak ndeleng lare nyang pasar,bapak melihat anak ke pasar
4141,mak nyampat kembang nong pasar,ibu memukul bunga di pasar
4142,mak nyampat kembang nong kali,ibu memukul bunga di sungai
4143,lare nyapu gedhang teko pawon,anak menyapu pisang dari dapur
4144,isun njuwut lare,saya mengambil anak
4145,riko nyampat jangan nyang kali,kamu memukul sayur ke sungai
4146,wong-wong nyimpen kunci nong umah,mereka menyimpan kunci di rumah
4147,isun ndeleng byanyu,saya melihat air
4148,lare nggowo jangan nyang pawon,anak membawa sayur ke dapur
4149,bapak nyampat gedhang,bapak memukul pisang
4150,riko nyampat lading nong umah,kamu memukul pisau di rumah
4151,isun nyapu sego teko pawon,saya menyapu nasi dari dapur
4152,isun ndeleng gedhang nong umah,aku melihat pisang di rumah
4153,wong-wong njuwut lading nyang puthuk,mereka mengambil pisau ke bukit
4154,yane ngambung gedhang nyang kali,dia mencium pisang ke sungai
4155,embyah njuwut lading nong pasar,nenek mengambil pisau di pasar
4156,yane nyapu gedhang nyang pasar,dia menyapu pisang ke pasar
4157,riko ngundang kembang nong pawon,kamu memanggil bunga di dapur
4158,bapak ndeleng kembang nyang pawon,bapak melihat bunga ke dapur
4159,wong-wong nyimpen buku nong pasar,mereka menyimpan buku di pasar
4160,wong-wong nyapu sego nyang pawon,mereka menyapu nasi ke dapur
4161,mak nyimpen kunci nong kali,ibu menyimpan kunci di sungai
4162,yane ngolah lading nong pawon,dia memasak pisau di dapur
4163,yane nyimpen kunci nyang umah,dia menyimpan kunci ke rumah
4164,isun njuwut sego,saya mengambil nasi
4165,isun ngolah lare nong umah,aku memasak anak di rumah
4166,lare ngolah buku nyang pasar,anak memasak buku ke pasar
4167,embyah njuwut sego nong pasar,nenek mengambil nasi di pasar
4168,isun nyapu kunci nong pawon,aku menyapu kunci di dapur
4169,mak ngambung byanyu,ibu mencium air
4170,yane ngambung gedhang nyang pawon,dia mencium pisang ke dapur
4171,mak ngundang kunci nyang umah,ibu memanggil kunci ke rumah
4172,isun njuwut sego teko puthuk,aku mengambil nasi dari bukit
4173,mak ngundang kembang nyang kali,ibu memanggil bunga ke sungai
4174,lare nyapu jangan,anak menyapu sayur
4175,mak ngundang buku teko pawon,ibu memanggil buku dari dapur
4176,embyah nyimpen gedhang nong puthuk,nenek menyimpan pisang di bukit
4177,bapak ngambung byanyu,bapak mencium air
4178,bapak ngambung kembang nyang pasar,bapak mencium bunga ke pasar
4179,isun njuwut kunci nong pasar,saya mengambil kunci di pasar
4180,isun ngolah kunci teko pasar,saya memasak kunci dari pasar
4181,yane ngambung lading nong pawon,dia mencium pisau di dapur
4182,lare ngambung sego nyang pawon,anak mencium nasi ke dapur
4183,lare ngundang kunci teko pawon,anak memanggil kunci dari dapur
4184,riko ngolah lading nyang umah,kamu memasak pisau ke rumah
4185,embyah nyampat jangan,nenek memukul sayur
4186,riko nyimpen jangan,kamu menyimpan sayur
4187,wong-wong nyampat buku teko pawon,mereka memukul buku dari dapur
4188,lare ngambung lare nyang umah,anak mencium anak ke rumah
4189,isun nyampat kunci nyang pawon,aku memukul kunci ke dapur
4190,isun nyapu sego teko pasar,saya menyapu nasi dari pasar
4191,yane nyapu kunci nong pawon,dia menyapu kunci di dapur
4192,isun nyapu byanyu nong pawon,aku menyapu air di dapur
4193,wong-wong ngolah jangan nyang kali,mereka memasak sayur ke sungai
4194,isun ndeleng byanyu,aku melihat air
4195,lare nyimpen lare teko umah,anak menyimpan anak dari rumah
4196,isun ngolah lading nong puthuk,saya memasak pisau di bukit
4197,embyah nyimpen buku teko pawon,nenek menyimpan buku dari dapur
4198,yane ndeleng jangan teko pawon,dia melihat sayur dari dapur
4199,riko nyimpen sego nong pasar,kamu menyimpan nasi di pasar
4200,wong-wong nggowo jangan nong pasar,mereka membawa sayur di pasar
4201,isun nyimpen buku nong pawon,saya menyimpan buku di dapur
4202,embyah nyampat byanyu teko umah,nenek memukul air dari rumah
4203,yane ngundang kembang nyang pasar,dia memanggil bunga ke pasar
4204,isun ndeleng kembang,aku melihat bunga
4205,bapak nyampat gedhang teko puthuk,bapak memukul pisang dari bukit
4206,isun nggowo sego nyang pasar,aku membawa nasi ke pasar
4207,isun nyapu jangan teko puthuk,saya menyapu sayur dari bukit
4208,isun ngambung jangan nong pasar,saya mencium sayur di pasar
4209,bapak nyapu lading nyang pasar,bapak menyapu pisau ke pasar
4210,embyah ndeleng kembang,nenek melihat bunga
4211,isun ngundang kunci nyang pasar,saya memanggil kunci ke pasar
4212,isun ngambung kunci nong kali,aku mencium kunci di sungai
4213,riko nyapu sego nong puthuk,kamu menyapu nasi di bukit
4214,lare nyampat sego,anak memukul nasi
4215,isun ngundang sego teko pawon,aku memanggil nasi dari dapur
4216,isun ngolah buku,saya memasak buku
4217,riko nyapu byanyu,kamu menyapu air
4218,bapak nyampat jangan teko puthuk,bapak memukul sayur dari bukit
4219,wong-wong ngolah sego,mereka memasak nasi
4220,isun njuwut lare nyang kali,aku mengambil anak ke sungai
4221,lare ngolah lading nyang pasar,anak memasak pisau ke pasar
4222,lare njuwut lading nyang pasar,anak mengambil pisau ke pasar
4223,bapak nyapu lare,bapak menyapu anak
4224,isun ngolah lading nyang kali,saya memasak pisau ke sungai
4225,bapak ndeleng kembang nong umah,bapak melihat bunga di rumah
4226,isun nggowo gedhang teko kali,saya membawa pisang dari sungai
4227,lare nyimpen sego nong pawon,anak menyimpan nasi di dapur
4228,riko ndeleng lare teko pawon,kamu melihat anak dari dapur
4229,mak nyampat jangan,ibu memukul sayur
4230,bapak ngolah byanyu nyang puthuk,bapak memasak air ke bukit
4231,isun ngundang lare teko kali,saya memanggil anak dari sungai
4232,wong-wong njuwut jangan,mereka mengambil sayur
4233,lare ngolah lading teko umah,anak memasak pisau dari rumah
4234,bapak ndeleng kembang,bapak melihat bunga
4235,yane nyapu jangan nong umah,dia menyapu sayur di rumah
4236,isun ngolah buku nong pawon,aku memasak buku di dapur
4237,wong-wong ngolah sego nyang pasar,mereka memasak nasi ke pasar
4238,lare nyampat lading nong kali,anak memukul pisau di sungai
4239,riko nyimpen gedhang teko umah,kamu menyimpan pisang dari rumah
4240,bapak ndeleng byanyu nyang puthuk,bapak melihat air ke bukit
4241,riko ngambung kunci nyang puthuk,kamu mencium kunci ke bukit
4242,mak ngambung lading,ibu mencium pisau
4243,wong-wong ngambung sego nong pasar,mereka mencium nasi di pasar
4244,mak nyapu kunci,ibu menyapu kunci
4245,riko nggowo byanyu nyang pasar,kamu membawa air ke pasar
4246,bapak nggowo kunci nong kali,bapak membawa kunci di sungai
4247,yane nyampat lading nyang umah,dia memukul pisau ke rumah
4248,isun njuwut byanyu nong kali,aku mengambil air di sungai
4249,embyah ngundang lare nong umah,nenek memanggil anak di rumah
4250,riko nyapu kunci nong puthuk,kamu menyapu kunci di bukit
4251,yane nggowo jangan nyang pasar,dia membawa sayur ke pasar
4252,wong-wong nyampat byanyu nong kali,mereka memukul air di sungai
4253,riko ndeleng sego teko pasar,kamu melihat nasi dari pasar
4254,isun nyimpen sego,saya menyimpan nasi
4255,bapak nyimpen jangan nong puthuk,bapak menyimpan sayur di bukit
4256,mak ndeleng lading teko puthuk,ibu melihat pisau dari bukit
4257,wong-wong nggowo jangan teko puthuk,mereka membawa sayur dari bukit
4258,wong-wong njuwut gedhang nyang pawon,mereka mengambil pisang ke dapur
4259,riko nyimpen byanyu nong pawon,kamu menyimpan air di dapur
4260,yane njuwut byanyu nong kali,dia mengambil air di sungai
4261,isun ngambung sego nong umah,aku mencium nasi di rumah
4262,bapak ndeleng byanyu,bapak melihat air
4263,wong-wong ngambung buku teko umah,mereka mencium buku dari rumah
4264,isun ndeleng gedhang nyang kali,saya melihat pisang ke sungai
4265,yane nyapu jangan teko pasar,dia menyapu sayur dari pasar
4266,isun nyampat byanyu teko pawon,saya memukul air dari dapur
4267,wong-wong ngambung byanyu nyang pawon,mereka mencium air ke dapur
4268,embyah ngundang buku teko umah,nenek memanggil buku dari rumah
4269,yane ngundang buku nong pasar,dia memanggil buku di pasar
4270,wong-wong ngolah jangan nyang umah,mereka memasak sayur ke rumah
4271,lare ngolah sego,anak memasak nasi
4272,mak ngolah byanyu teko kali,ibu memasak air dari sungai
4273,wong-wong ngolah lare nyang puthuk,mereka memasak anak ke bukit
4274,isun njuwut byanyu teko kali,saya mengambil air dari sungai
4275,embyah nyimpen kunci nong umah,nenek menyimpan kunci di rumah
4276,isun ngundang gedhang,aku memanggil pisang
4277,yane nggowo jangan nyang kali,dia membawa sayur ke sungai
4278,bapak ndeleng gedhang teko umah,bapak melihat pisang dari rumah
4279,mak ngambung gedhang nong puthuk,ibu mencium pisang di bukit
4280,isun ndeleng jangan teko kali,saya melihat sayur dari sungai
4281,mak ngolah byanyu teko puthuk,ibu memasak air dari bukit
4282,riko ngundang buku nyang pawon,kamu memanggil buku ke dapur
4283,wong-wong nyampat sego,mereka memukul nasi
4284,isun njuwut kunci nyang pawon,saya mengambil kunci ke dapur
4285,yane nyimpen kembang nong pasar,dia menyimpan bunga di pasar
4286,wong-wong nyampat lare teko puthuk,mereka memukul anak dari bukit
4287,isun ngambung kembang,aku mencium bunga
4288,yane njuwut gedhang teko pawon,dia mengambil pisang dari dapur
4289,wong-wong ngambung buku,mereka mencium buku
4290,wong-wong ngundang kembang teko puthuk,mereka memanggil bunga dari bukit
4291,embyah nyampat jangan nong umah,nenek memukul sayur di rumah
4292,isun nyampat jangan nyang kali,saya memukul sayur ke sungai
4293,isun ngundang lading nyang puthuk,saya memanggil pisau ke bukit
4294,wong-wong nyapu kunci nong kali,mereka menyapu kunci di sungai
4295,yane nyimpen jangan teko pawon,dia menyimpan sayur dari dapur
4296,embyah njuwut gedhang nong pawon,nenek mengambil pisang di dapur
4297,isun njuwut jangan nong pasar,saya mengambil sayur di pasar
4298,lare ngundang lading,anak memanggil pisau
4299,isun ngundang lare,aku memanggil anak
4300,isun ngolah buku teko pawon,saya memasak buku dari dapur
4301,embyah nggowo sego teko pasar,nenek membawa nasi dari pasar
4302,isun nyimpen jangan nyang pasar,saya menyimpan sayur ke pasar
4303,yane ngambung byanyu,dia mencium air
4304,yane njuwut kembang nyang pawon,dia mengambil bunga ke dapur
4305,embyah nyapu kembang nong kali,nenek menyapu bunga di sungai
4306,lare njuwut jangan,anak mengambil sayur
4307,bapak ngolah buku nong umah,bapak memasak buku di rumah
4308,isun ngolah jangan nong puthuk,saya memasak sayur di bukit
4309,lare nyampat lare nong pawon,anak memukul anak di dapur
4310,lare ngundang gedhang nong pawon,anak memanggil pisang di dapur
4311,lare nyimpen sego nyang pawon,anak menyimpan nasi ke dapur
4312,lare njuwut gedhang nong pawon,anak mengambil pisang di dapur
4313,embyah ndeleng buku,nenek melihat buku
4314,mak ngundang buku nyang pawon,ibu memanggil buku ke dapur
4315,isun nggowo lading teko umah,aku membawa pisau dari rumah
4316,wong-wong nyapu jangan,mereka menyapu sayur
4317,mak ngambung buku nong puthuk,ibu mencium buku di bukit
4318,isun ngundang jangan nong pawon,aku memanggil sayur di dapur
4319,wong-wong ngolah sego teko pawon,mereka memasak nasi dari dapur
4320,mak nyampat lare nong kali,ibu memukul anak di sungai
4321,riko nggowo sego,kamu membawa nasi
4322,mak ngolah sego nong umah,ibu memasak nasi di rumah
4323,isun nyapu byanyu nong pawon,saya menyapu air di dapur
4324,bapak ngundang jangan,bapak memanggil sayur
4325,lare nyimpen jangan nyang pasar,anak menyimpan sayur ke pasar
4326,bapak ngambung gedhang nong puthuk,bapak mencium pisang di bukit
4327,riko ndeleng gedhang nong umah,kamu melihat pisang di rumah
4328,embyah ndeleng byanyu nong kali,nenek melihat air di sungai
4329,bapak njuwut gedhang nong puthuk,bapak mengambil pisang di bukit
4330,bapak nggowo sego teko umah,bapak membawa nasi dari rumah
4331,embyah nyimpen jangan teko puthuk,nenek menyimpan sayur dari bukit
4332,yane nyapu gedhang nong kali,dia menyapu pisang di sungai
4333,bapak nyapu byanyu teko pasar,bapak menyapu air dari pasar
4334,isun nyapu lading nyang pawon,aku menyapu pisau ke dapur
4335,embyah ngundang lading nong pasar,nenek memanggil pisau di pasar
4336,lare nyapu kembang nyang puthuk,anak menyapu bunga ke bukit
4337,riko ngolah sego teko pasar,kamu memasak nasi dari pasar
4338,yane nyampat lading nong pawon,dia memukul pisau di dapur
4339,wong-wong ngolah buku nyang pasar,mereka memasak buku ke pasar
4340,lare ngundang byanyu,anak memanggil air
4341,yane nyampat buku nyang puthuk,dia memukul buku ke bukit
4342,mak njuwut buku nyang pasar,ibu mengambil buku ke pasar
4343,isun ndeleng buku nong kali,aku melihat buku di sungai
4344,wong-wong ngundang gedhang teko pawon,mereka memanggil pisang dari dapur
4345,bapak nyimpen jangan nyang umah,bapak menyimpan sayur ke rumah
4346,wong-wong ngambung kembang teko pasar,mereka mencium bunga dari pasar
4347,wong-wong ndeleng sego,mereka melihat nasi
4348,riko nyimpen lare teko kali,kamu menyimpan anak dari sungai
4349,isun nyimpen lare teko umah,aku menyimpan anak dari rumah
4350,isun nyimpen jangan nyang pawon,saya menyimpan sayur ke dapur
4351,mak njuwut kunci nyang pasar,ibu mengambil kunci ke pasar
4352,yane njuwut buku nyang umah,dia mengambil buku ke rumah
4353,riko ngambung gedhang nyang pasar,kamu mencium pisang ke pasar
4354,isun ndeleng kunci teko pawon,saya melihat kunci dari dapur
4355,yane nyampat gedhang teko kali,dia memukul pisang dari sungai
4356,isun nggowo buku nong pawon,saya membawa buku di dapur
4357,riko nyampat gedhang teko puthuk,kamu memukul pisang dari bukit
4358,lare nggowo buku,anak membawa buku
4359,embyah ngundang kembang,nenek memanggil bunga
4360,embyah njuwut sego nong umah,nenek mengambil nasi di rumah
4361,wong-wong nyampat buku teko puthuk,mereka memukul buku dari bukit
4362,yane ngolah sego teko umah,dia memasak nasi dari rumah
4363,isun nyapu gedhang,saya menyapu pisang
4364,isun ngolah sego nong pasar,saya memasak nasi di pasar
4365,bapak nyimpen kembang nyang puthuk,bapak menyimpan bunga ke bukit
4366,isun nyapu lading nong pasar,aku menyapu pisau di pasar
4367,isun ngundang byanyu teko pasar,aku memanggil air dari pasar
4368,isun ngambung jangan nong puthuk,saya mencium sayur di bukit
4369,isun nyapu jangan,aku menyapu sayur
4370,riko ndeleng kunci,kamu melihat kunci
4371,isun ngolah kunci nyang pasar,aku memasak kunci ke pasar
4372,lare nggowo kembang teko pasar,anak membawa bunga dari pasar
4373,bapak nyapu gedhang nong pawon,bapak menyapu pisang di dapur
4374,mak ngundang byanyu nyang pasar,ibu memanggil air ke pasar
4375,mak njuwut gedhang teko umah,ibu mengambil pisang dari rumah
4376,isun ngolah jangan teko kali,aku memasak sayur dari sungai
4377,isun ngambung jangan nong kali,aku mencium sayur di sungai
4378,isun nyapu lading teko umah,aku menyapu pisau dari rumah
4379,isun nyimpen gedhang,aku menyimpan pisang
4380,riko ngundang gedhang nong pasar,kamu memanggil pisang di pasar
4381,wong-wong nyapu lare teko kali,mereka menyapu anak dari sungai
4382,embyah ndeleng jangan nong kali,nenek melihat sayur di sungai
4383,lare ngolah kunci,anak memasak kunci
4384,yane ngundang kembang teko pasar,dia memanggil bunga dari pasar
4385,bapak nyimpen gedhang nong pasar,bapak menyimpan pisang di pasar
4386,isun ngolah kunci,aku memasak kunci
4387,isun nyapu gedhang nong pawon,saya menyapu pisang di dapur
4388,lare nggowo kunci nong pawon,anak membawa kunci di dapur
4389,isun njuwut gedhang nyang pasar,aku mengambil pisang ke pasar
4390,bapak ngundang kembang nong pawon,bapak memanggil bunga di dapur
4391,lare nggowo gedhang teko pasar,anak membawa pisang dari pasar
4392,embyah ngolah kunci teko pasar,nenek memasak kunci dari pasar
4393,yane nggowo sego,dia membawa nasi
4394,lare ngambung gedhang nyang kali,anak mencium pisang ke sungai
4395,isun nggowo kembang nyang umah,saya membawa bunga ke rumah
4396,isun ngambung buku,aku mencium buku
4397,bapak ngambung byanyu nyang pasar,bapak mencium air ke pasar
4398,isun ngolah jangan teko pawon,saya memasak sayur dari dapur
4399,wong-wong nyimpen sego nong umah,mereka menyimpan nasi di rumah
4400,isun nggowo kunci teko kali,saya membawa kunci dari sungai
4401,isun nyampat buku teko kali,aku memukul buku dari sungai
4402,yane nggowo kembang nyang umah,dia membawa bunga ke rumah
4403,yane nyimpen kembang nyang pasar,dia menyimpan bunga ke pasar
4404,yane ngambung jangan nong puthuk,dia mencium sayur di bukit
4405,isun nyapu gedhang nong pasar,aku menyapu pisang di pasar
4406,yane nyapu kunci,dia menyapu kunci
4407,lare nyimpen byanyu nyang kali,anak menyimpan air ke sungai
4408,mak njuwut buku,ibu mengambil buku
4409,embyah nyapu sego,nenek menyapu nasi
4410,bapak ngolah sego nyang kali,bapak memasak nasi ke sungai
4411,yane ngundang lading nong puthuk,dia memanggil pisau di bukit
4412,riko nggowo sego nong puthuk,kamu membawa nasi di bukit
4413,isun nggowo gedhang nong pawon,saya membawa pisang di dapur
4414,wong-wong nyimpen sego teko kali,mereka menyimpan nasi dari sungai
4415,embyah nyimpen kunci teko pasar,nenek menyimpan kunci dari pasar
4416,wong-wong ndeleng buku,mereka melihat buku
4417,lare ngundang byanyu teko puthuk,anak memanggil air dari bukit
4418,riko nyapu jangan nyang pasar,kamu menyapu sayur ke pasar
4419,riko ndeleng gedhang nyang puthuk,kamu melihat pisang ke bukit
4420,lare nyimpen jangan teko pawon,anak menyimpan sayur dari dapur
4421,wong-wong ndeleng lare nong puthuk,mereka melihat anak di bukit
4422,embyah ngolah gedhang nyang kali,nenek memasak pisang ke sungai
4423,lare njuwut gedhang teko kali,anak mengambil pisang dari sungai
4424,yane ndeleng kunci teko kali,dia melihat kunci dari sungai
4425,yane nyimpen kembang nyang kali,dia menyimpan bunga ke sungai
4426,lare nggowo byanyu nong kali,anak membawa air di sungai
4427,bapak nyimpen kunci nong puthuk,bapak menyimpan kunci di bukit
4428,mak ngambung sego nong pasar,ibu mencium nasi di pasar
4429,mak njuwut kembang nong umah,ibu mengambil bunga di rumah
4430,mak ngambung kunci teko pasar,ibu mencium kunci dari pasar
4431,mak njuwut jangan nong umah,ibu mengambil sayur di rumah
4432,mak nyampat lading nyang kali,ibu memukul pisau ke sungai
4433,isun ndeleng lading nong pasar,saya melihat pisau di pasar
4434,isun njuwut buku nyang kali,saya mengambil buku ke sungai
4435,mak ngambung sego nong umah,ibu mencium nasi di rumah
4436,isun ndeleng sego nyang pasar,saya melihat nasi ke pasar
4437,bapak nyampat kembang nyang puthuk,bapak memukul bunga ke bukit
4438,mak ngambung jangan nong umah,ibu mencium sayur di rumah
4439,lare ngolah lading teko pasar,anak memasak pisau dari pasar
4440,isun nyampat kembang,aku memukul bunga
4441,yane ndeleng gedhang nyang puthuk,dia melihat pisang ke bukit
4442,lare njuwut lading nyang kali,anak mengambil pisau ke sungai
4443,bapak ngolah lare nong pawon,bapak memasak anak di dapur
4444,riko ngolah lading nong pawon,kamu memasak pisau di dapur
4445,isun nyampat byanyu teko pasar,saya memukul air dari pasar
4446,riko nyapu gedhang,kamu menyapu pisang
4447,yane ndeleng buku nong pasar,dia melihat buku di pasar
4448,wong-wong njuwut lare nyang pasar,mereka mengambil anak ke pasar
4449,isun nyapu byanyu nyang umah,saya menyapu air ke rumah
4450,bapak nyimpen jangan teko kali,bapak menyimpan sayur dari sungai
4451,lare nyapu byanyu,anak menyapu air
4452,isun nggowo kembang nyang pawon,saya membawa bunga ke dapur
4453,wong-wong ngundang lading nong pasar,mereka memanggil pisau di pasar
4454,bapak ngolah jangan nyang pasar,bapak memasak sayur ke pasar
4455,isun nyapu kunci teko umah,saya menyapu kunci dari rumah
4456,embyah nggowo lare nyang pasar,nenek membawa anak ke pasar
4457,mak nyampat buku teko pawon,ibu memukul buku dari dapur
4458,wong-wong ndeleng sego nyang pawon,mereka melihat nasi ke dapur
4459,yane njuwut kembang nong umah,dia mengambil bunga di rumah
4460,yane nyapu kembang teko kali,dia menyapu bunga dari sungai
4461,isun ngolah lading nyang umah,aku memasak pisau ke rumah
4462,mak nggowo kunci,ibu membawa kunci
4463,mak nggowo gedhang nyang pasar,ibu membawa pisang ke pasar
4464,isun nyapu lare teko pawon,saya menyapu anak dari dapur
4465,riko ndeleng sego nyang pasar,kamu melihat nasi ke pasar
4466,isun njuwut lading,saya mengambil pisau
4467,isun ngundang lare nyang umah,aku memanggil anak ke rumah
4468,isun nyimpen buku teko kali,aku menyimpan buku dari sungai
